# datafile_num	half-hour-slot	programme_name
0	0	The Sopranos
0	18	Thomas the Tank Engine & Friends
0	46	Late Night Legends
0	41	CSI: Crime Scene Investigation
0	41	Indonesian News
0	46	Monkey Dust
0	41	Indonesian News
0	14	Italian News
0	21	Escape with ET
0	23	Arabic News
0	15	Italian News Weekly
0	6	Australians At War
0	14	Lateline Business
0	10	rage
0	17	In the Box
0	18	9am With David and Kim
0	28	Ready Steady Cook
0	45	Comedy Inc. The Late Shift
0	15	Australia Wide
0	2	Station Close
0	22	Pinky Dinky Doo
0	26	Hamilton Island Race Week
0	23	Adventures of Spot
0	22	Grizzly Tales for Gruesome Kids
0	45	German News
0	40	Catalyst
0	28	Mandarin News
0	21	India
0	22	Connie The Cow
0	36	Arabic News
0	22	Talking Real Estate
0	22	Pinky Dinky Doo
0	23	British Isles: A Natural History
0	10	Japanese News
0	46	The Assassin
0	20	Inside Business
0	34	Ten News
0	30	Weatherwatch
0	42	Mandarin News
0	32	NT AFL 2007
0	12	Toasted TV
0	26	Days of Our Lives
0	42	Foreign Correspondent
0	43	The Whole Nine Yards
0	15	Gerald McBoing Boing
0	34	Ten News
0	37	Relive the Rivalry
0	30	Judge Judy
0	9	Good Morning America
0	37	World News Australia
0	37	Meerkat Manor
0	41	CSI: Miami
0	41	Law & Order: S.V.U.
0	46	Spanish News
0	18	French News
0	10	Japanese News
0	33	Chilean News
0	34	M*A*S*H
0	41	Big Questions
0	8	NBC Today
0	20	Our Animals
0	25	Play School
0	26	Foreign Correspondent
0	4	Home Shopping
0	31	Living Black
0	4	Passions
0	13	Weatherwatch
0	18	jtv XL: The Bravery: Live in France
0	18	Thomas the Tank Engine & Friends
0	22	British Isles: A Natural History
0	36	Rick Stein's French Odyssey
0	8	Enjoying Everyday Life
0	47	Stargate SG-1
0	41	CSI: Crime Scene Investigation
0	24	Indonesian News
0	41	Iron Chef
0	39	Lost Worlds
0	30	Gardening Australia
0	42	Maltese News
0	16	Fifi and the Flowertots
0	0	Less Than Perfect
0	33	The Journal
0	43	Morning Sun
0	24	Indonesian News
0	22	Pablo the Little Red Fox
0	32	Basketball: Women's National League 2006/07
0	16	Meet the Press
0	1	Midnight Zoo
0	46	Asia Pacific Focus
0	28	In Satmar Custody
0	15	Gerald McBoing Boing
0	37	Winged Sandals
0	35	Croc Bites
0	27	Cantonese News
0	32	Jakers! The Adventures of Piggley Winks
0	36	Seven News
0	34	M*A*S*H
0	10	This is Your Day
0	45	Crossing Jordan
0	30	Pilot Guides
0	34	Stateline TAS
0	36	Arabic News
0	27	Spot's Musical Adventures
0	19	Polish News
0	21	Behind the News
0	18	French News
0	34	She'll Be Right Boss
0	37	The Tribe
0	22	Kim Possible
0	45	Ten Late Night News/Sports Tonight
0	40	Italian News
0	32	Streetsmartz
0	13	Hillsong
0	30	Rafferty's Rules
0	27	Message Stick
0	23	Paris-Tours 2006
0	27	Spot's Musical Adventures
0	3	The Crime of Crimes
0	24	Dr. Phil
0	19	The Pet Show
0	33	National Nine Afternoon News
0	3	Video Hits Up-Late
0	26	The Trojans
0	24	Queer Eye for the Straight Guy
0	33	Talk to the Animals
0	28	Stateline NSW
0	35	Australian Story Classics
0	33	The Journal
0	40	Italian News
0	25	Business Report
0	18	Sunday
0	20	Our History
0	9	The Perfect Woman
0	17	Gardening Australia
0	19	King Arthur's Disasters
0	12	Dimensions In Time
0	16	Das Journal
0	31	Hi-5
0	33	Seven News
0	37	Today Tonight
0	18	Lloyd in Space
0	28	Ready Steady Cook
0	12	People Dimensions
0	35	Behind the News
0	14	Italian News
0	12	Make Way for Noddy
0	33	The Secret Show
0	2	Late Show with David Letterman
0	26	The Fimbles
0	35	Grizzly Tales for Gruesome Kids
0	39	The 7.30 Report
0	34	Black Hole High
0	36	National Nine News Saturday
0	16	Dragon Booster
0	38	Greek News
0	30	Bananas in Pyjamas
0	19	Russian News
0	21	Greek News
0	30	A Fork in the Road
0	4	Passions
0	17	The Wiggles
0	30	Bananas in Pyjamas
0	34	Antiques Roadshow
0	1	Indonesian News
0	30	Boohbah
0	0	Quizmania
0	22	Pablo the Little Red Fox
0	19	Hot Auctions
0	36	The Simpsons
0	12	Sunrise
0	22	National Nine Morning News
0	29	Lights, Camera, Action, Wiggles!
0	18	9am With David and Kim
0	7	Guthy-Renker Australia
0	24	Dr. Phil
0	40	Hotline
0	20	Behind the News Special
0	43	Criminal Minds
0	16	Winx Club
0	38	Futurama
0	6	National Press Club Address
0	37	The Pet Show
0	26	Days of Our Lives
0	39	Australian Idol
0	33	French News
0	14	Edgar & Ellen
0	38	Toyota World Sport
0	14	Saturday Disney
0	15	Australia Wide
0	31	Huey's Cooking Adventures
0	36	National Nine News
0	12	Today
0	15	King Arthur's Disasters
0	43	CSI: NY
0	33	The Secret Show
0	35	Stateline WA
0	41	Four Corners
0	31	German News
0	21	Seven Morning News
0	43	World News Australia
0	1	Station Close
0	22	Bowls: Tri Series: Men
0	16	The Cook and the Chef
0	16	Das Journal
0	41	The Hot Chick
0	31	Dimensions In Time
0	30	Rafferty's Rules
0	31	Play School
0	43	Pop(b)session
0	38	Home and Away
0	16	Fifi and the Flowertots
0	28	Japanese News
0	17	Video Hits First
0	22	National Nine Morning News
0	39	The 7.30 Report
0	31	German News
0	41	Good Game
0	32	Scope
0	32	Spanish News
0	39	The Force - Behind The Line
0	39	The 7.30 Report
0	16	Miss BG
0	30	Boohbah
0	32	It's Academic
0	36	Arabic News
0	13	Tractor Tom
0	14	Edgar & Ellen
0	1	Midnight Zoo
0	41	Bronski & Bernstein
0	37	Overhaul
0	10	Japanese News
0	17	Play with Me Sesame
0	16	German News
0	33	The Journal
0	46	Lateline Business
0	40	Australia Wide
0	14	Teenage Mutant Ninja Turtles
0	10	Life Today with James Robison
0	26	Dr Otter
0	1	Indonesian News
0	33	The Secret Show
0	22	Lexmark Indy 300
0	12	Mass for You at Home
0	19	Play School
0	20	Sons and Daughters
0	28	Ukrainian News
0	24	Play School
0	26	Metamorphosis
0	14	Italian News
0	23	Arabic News
0	23	Fourways Farm
0	40	Landline
0	38	ABC News
0	45	Boston Legal
0	16	Rage: Guest Programmer
0	29	Lights, Camera, Action, Wiggles!
0	13	Blue Water High
0	25	National Press Club Address
0	12	Today
